readability,read_grade,compound,neg,neu,pos,readability_text,read_grade_text,compound_text,neg_text,neu_text,pos_text,punctuation_title,punctuation_text,count_text,count_title,punctuation_ratio_text,punctuation_ratio_title,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,class
96.18,2.1,0.0,0.0,1.0,0.0,25.6,20.9,-0.9954,0.11599999999999999,0.813,0.071,1,143,1312,9,0.1089939024390244,0.1111111111111111,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
65.73,7.6,0.29600000000000004,0.0,0.855,0.145,6.14,30.5,-0.7351,0.066,0.89,0.044000000000000004,1,21,218,14,0.0963302752293578,0.07142857142857142,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
206.84,-15.7,0.0,0.0,0.0,0.0,78.59,6.8,0.9698,0.022000000000000002,0.7140000000000001,0.264,0,10,72,1,0.1388888888888889,0.0,-0.9059928059577942,-0.2667195796966553,-1.869326114654541,-1.3980857133865356,-0.7836892604827881,-1.8978575468063357,-0.21826903522014615,-0.7203141450881958,-1.7697135210037231,-1.0904766321182249,2.8981304168701167,0.3838014602661133,2.6852197647094727,1.6865837574005127,5.880551338195801,-0.7190836071968079,-2.1305410861968994,-0.3041969239711761,1.3989851474761963,0.08076420426368712,fake
15.64,12.3,0.2732,0.0,0.6559999999999999,0.344,28.0,17.9,0.3254,0.079,0.825,0.096,0,23,72,5,0.3194444444444444,0.0,2.4690499305725098,2.8304243087768555,-0.8289771080017091,0.5554947257041931,-0.396151214838028,-3.39276123046875,4.4381866455078125,1.1414045095443726,2.171108722686768,0.7351307272911072,-1.3068147897720337,0.4107935428619385,1.0386394262313845,-0.15673381090164185,2.714619874954224,-0.1000208929181099,-1.3782625198364258,-0.0063836341723799706,-1.1724374294281006,-0.33373260498046875,fake
58.28,8.4,0.0,0.0,1.0,0.0,36.46,16.7,-0.3629,0.094,0.8190000000000001,0.086,0,31,276,13,0.11231884057971014,0.0,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
79.26,4.4,0.0,0.0,1.0,0.0,29.49,21.5,-0.6362,0.077,0.8490000000000001,0.07400000000000001,0,69,450,9,0.15333333333333332,0.0,-1.7953553199768066,3.190423488616944,1.758181095123291,-3.6373412609100337,-2.337695837020874,1.4001870155334473,1.0302913188934326,-3.7959024906158447,-0.6151726841926575,3.614530324935913,3.995930194854736,3.735284805297852,-1.6362483501434326,-2.734665870666504,3.434777975082397,2.116244077682495,-0.4899802803993225,1.9829041957855225,2.8920197486877437,1.1932721138000488,fake
206.84,-15.7,0.0,0.0,0.0,0.0,61.19,11.4,0.7841,0.0,0.9179999999999999,0.08199999999999999,0,9,107,1,0.08411214953271028,0.0,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
78.59,6.8,-0.8622,0.41600000000000004,0.496,0.08800000000000001,57.64,12.7,-0.9582,0.12300000000000001,0.79,0.087,1,56,394,18,0.14213197969543148,0.05555555555555555,-0.18236158788204196,1.5902810096740725,0.3408115804195404,-1.0490646362304688,0.7528479695320129,0.6121553182601929,1.4435242414474487,0.08739791810512543,-0.1495470255613327,1.0926254987716677,-0.829708456993103,0.04477214440703392,-0.42857763171195984,-1.8620818853378296,-0.5955991744995117,3.0474944114685063,-0.13590535521507266,-0.4254017770290375,0.6634217500686646,2.539912700653076,fake
73.17,6.8,0.1779,0.0,0.892,0.10800000000000001,-133.6,32.4,0.0,0.0,1.0,0.0,3,0,8,15,0.0,0.2,2.926093101501465,2.6694180965423584,0.3288088440895081,-0.3563306629657745,0.8830186724662781,2.7137575149536133,0.2070210725069046,-0.1987756639719009,-1.7607100009918213,-0.09835313260555267,0.04713397473096848,0.8803340792655945,-2.000549077987671,-3.8252129554748535,0.5474100708961487,0.08368360996246338,-0.3728753924369812,0.9933379292488098,-1.2721257209777832,-1.4480454921722412,fake
88.74,2.9,-0.29600000000000004,0.239,0.7609999999999999,0.0,56.29,11.2,-0.9896,0.128,0.7509999999999999,0.121,1,391,3099,8,0.12616973217166827,0.125,1.9084655046463013,9.01899242401123,0.5553756952285767,-2.8377726078033447,0.3478350341320038,-4.29683780670166,3.4567770957946777,-0.2867511510848999,0.7009512782096863,2.0680067539215092,2.6759142875671387,-1.3472236394882202,0.9834688305854796,-0.32259830832481384,4.799599170684815,-0.7192682027816772,-0.2846958637237549,-0.5208072066307068,-0.2708761394023895,0.5241797566413879,fake
